wp_site_url,wp_tagline,wp_site_title,site_type,openshift_env,category,theme,theme_faculty,status,installs_locked,updates_automatic,langs,unit_name,unit_id,comment,ventilation,,,,,,,,,,
https://polycontrat.epfl.ch,Polycontrat,GEC,wordpress,subdomains,GeneralPublic,epfl-master,,yes,yes,yes,"en,fr",GEC,10005,Migrated from Jahia to WP 2018-05-14,,,,,,,,,,,
https://lmis2.epfl.ch,LABORATORY OF MICROSYSTEMS,LMIS2,wordpress,subdomains,GeneralPublic,epfl-master,sti,yes,yes,yes,en,LMIS2,10322,Migrated from Jahia to WP 2018-05-14,,,,,,,,,,,
https://mcss.epfl.ch,Computational Mathematics and Simulation Science,MCSS,wordpress,subdomains,GeneralPublic,epfl-master,sb,yes,yes,yes,en,MCSS,12703,Migrated from Jahia to WP 2018-05-14,,,,,,,,,,,
https://csea.epfl.ch,Chair of Atomic Scale Simulation,CSEA,wordpress,subdomains,GeneralPublic,epfl-master,sb,yes,yes,yes,"en,fr",CSEA,10186,Migrated from Jahia to WP 2018-05-22,,,,,,,,,,,
https://lcb.epfl.ch,Laboratory of Cell Biophysics,LCB,wordpress,subdomains,GeneralPublic,epfl-master,sb,yes,yes,yes,en,SB-IT,10084,Migrated from Jahia to WP 2018-05-22,,,,,,,,,,,
https://lppc.epfl.ch,Laboratory of Particle Physics and Cosmology,LPPC,wordpress,subdomains,GeneralPublic,epfl-master,sb,yes,yes,yes,en,LPPC,10869,Migrated from Jahia to WP 2018-05-22,,,,,,,,,,,
https://smartgrid.epfl.ch,EPFL Smart Grid Project,SmartGrid,wordpress,subdomains,GeneralPublic,epfl-master,ic,yes,yes,yes,en,LCA2,10427,,,,,,,,,,,,
https://icnf2019.epfl.ch,25th International Conference on Noise and Fluctuations,ICNF 2019,wordpress,subdomains,GeneralPublic,epfl-master,sti,yes,yes,yes,en,ICLAB,12701,,,,,,,,,,,,
https://servicedesk-sandbox.epfl.ch,Service Desk,SD,wordpress,subdomains,GeneralPublic,epfl-master,,yes,yes,yes,"fr,en",EXDESK,13034,,,,,,,,,,,,
https://lasur.epfl.ch,URBAN SOCIOLOGY LABORATORY,LASUR,wordpress,subdomains,GeneralPublic,epfl-master,enac,yes,yes,yes,"en,fr",GR-PI,12392,Migrated from Jahia to WP 2018-05-24,,,,,,,,,,,
https://edlab.epfl.ch,Group of Electron Device Modeling and Technology,EDLAB,wordpress,subdomains,GeneralPublic,epfl-master,sti,yes,yes,yes,en,GR-SCI-IEL,12664,Migrated from Jahia to WP 2018-06-05,,,,,,,,,,,
https://ffo.epfl.ch,Group for Ferroelectrics and Functional Oxides,FFO,wordpress,subdomains,GeneralPublic,epfl-master,sti,yes,yes,yes,en,SCI-STI-DD,13276,Migrated from Jahia to WP 2018-06-05,,,,,,,,,,,
https://galatea.epfl.ch,Galatea Laboratory,GALATEA,wordpress,subdomains,GeneralPublic,epfl-master,sti,yes,yes,yes,en,GALATEA,13016,Migrated from Jahia to WP 2018-06-05,,,,,,,,,,,
https://lcso.epfl.ch,Laboratory of Catalysis and Organic Synthesis,LCSO,wordpress,subdomains,GeneralPublic,epfl-master,sb,yes,yes,yes,en,LCSO,11811,Migrated from Jahia to WP 2018-06-05,,,,,,,,,,,
https://lfim.epfl.ch,Laboratory for Functional Inorganic Materials,LFIM,wordpress,subdomains,GeneralPublic,epfl-master,sb,yes,yes,yes,en,LFIM,13001,Migrated from Jahia to WP 2018-06-05,,,,,,,,,,,
https://pps.epfl.ch,L'ensemble des préparateurs en physique des universités suisses,PPS,wordpress,subdomains,GeneralPublic,epfl-master,sb,yes,yes,yes,fr,SPH-GE,10093,Migrated from Jahia to WP 2018-06-05,,,,,,,,,,,
https://fondationrapin.epfl.ch,Fondation Rapin,EPFL,wordpress,subdomains,GeneralPublic,epfl-master,,yes,yes,yes,fr,GEC,10005,Migrated from Jahia to WP 2018-06-05,,,,,,,,,,,
https://rehassist.epfl.ch,Rehabilitation and Assisive Robotics,RehAssist,wordpress,subdomains,GeneralPublic,epfl-master,sti,yes,yes,yes,en,LSRO,10359,,,,,,,,,,,,
https://ghir.epfl.ch,GHI Retreat 2018,GHIR,wordpress,subdomains,GeneralPublic,epfl-master,sv,yes,yes,yes,en,UPPERSAT,13303,,,,,,,,,,,,
https://anmc.epfl.ch,COMPUTATIONAL MATHEMATICS AND NUMERICAL ANALYSIS,ANMC,wordpress,subdomains,GeneralPublic,epfl-master,sb,yes,yes,yes,en,ANMC,11991,,,,,,,,,,,,
https://imaging.epfl.ch,Imaging @ EPFL,imaging,wordpress,subdomains,GeneralPublic,epfl-master,sti,yes,yes,yes,en,SG,11911,,,,,,,,,,,,
https://ew2018.epfl.ch,Eurotech Winterschoool 2018,EW2018,wordpress,subdomains,GeneralPublic,epfl-master,,yes,yes,yes,en,EDEE-GE,11988,,,,,,,,,,,,
https://extremes.epfl.ch,Extremes and applications,extremes,wordpress,subdomains,GeneralPublic,epfl-master,sb,yes,yes,yes,en,STAT,10124,Migrated from Jahia to WP 2018-06-13,,,,,,,,,,,
https://gcb.epfl.ch,Group of Catalysis for Biofuels,GCB,wordpress,subdomains,GeneralPublic,epfl-master,sb,yes,yes,yes,en,GR-KRO,12943,Migrated from Jahia to WP 2018-06-13,,,,,,,,,,,
https://lnd.epfl.ch,Laboratory of Molecular Nanodynamics,LND,wordpress,subdomains,GeneralPublic,epfl-master,sb,yes,yes,yes,en,LND,13266,Migrated from Jahia to WP 2018-06-13,,,,,,,,,,,
https://lqno.epfl.ch,Laboratory of Quantum Nano-Optics,LQNO,wordpress,subdomains,GeneralPublic,epfl-master,sb,yes,yes,yes,en,GR-GA,13462,Migrated from Jahia to WP 2018-06-13,,,,,,,,,,,
