sciper;labAcronyme;siteUrl;doublon;clusters;idSite
113954;GR-CEL;https://www.epfl.ch/labs/gr-cel;;Water and waste engineering;NNhB9wiCTDSo7r9qf
115080;MANSLAB1;https://www.epfl.ch/labs/manslab;;Project and design;64Ls9izp7y8K7x7uj
115534;LTS5;https://www.epfl.ch/labs/lts5;;Neurotechnology;8YJCQyhP6fZd3E7nj
115955;BIOROB;https://biorob.epfl.ch;;Bio-inspired designs and systems|Neurotechnology|Learning and decision systems|Neural engineering and prosthetics|Robotics and autonomous systems;7r7wktoBt9DvpB6kE
117014;LIDIAP;https://www.epfl.ch/labs/idiap;;Learning and decision systems;hxevdrvXjKjdDN2zN
118332;TRANSP-OR;https://www.epfl.ch/labs/transp-or;;Transportation and networks;APusEg3zvXjS9rNrx
118353;CSQI;https://www.epfl.ch/labs/csqi;;Applied and computational mathematics;cTBpYEMaCLBNtkQj2
120861;PDE;https://www.epfl.ch/labs/pde;;Mathematical analysis;kfr9HQbjLESPwJPag
121774;LND;https://www.epfl.ch/labs/lnd;;Physical chemistry;r7sTw6xQHrxZFAXiu
121845;CCLAB;https://www.epfl.ch/labs/cclab;;Structure and materials;cvGy65BieepstwJT2
121849;LBE;https://www.epfl.ch/labs/lbe;;Atmosphere and climate|Ecology and biogeochemical cycles|Water and waste engineering;LiQDLuSkJBGjtPupu
122431;NANOLAB;https://www.epfl.ch/labs/nanolab;;Internet of things|Micro and nanosystems|Personalized health;vomXWKgtSrc2pezHk
122784;LPHE;https://www.epfl.ch/labs/lphe;;Elementary particle physics;MxedfBLwgzeaMiRrW
122796;LINX;https://www.epfl.ch/labs/linx;;Computational biology|Information & communication theory|Signal & image processing;PQLGSZoo9RK4e8KSH
122830;LSU;https://www.epfl.ch/labs/lsu;;Chemical biology|Physical chemistry;PRNTriJ6fpuGbxQTA
123155;LIP;https://www.epfl.ch/labs/lip;;Chemical biology;vTrE8DCGhLQD2F2qj
125681;IVRL;https://ivrl.epfl.ch;;Computer graphics|Computer vision|Signal & image processing;5vxPRZrSd2nWtxeKj
125942;LPMV;https://www.epfl.ch/labs/lpmv;;Biophysics|Microscopy spectromicroscopy and imaging;ttZjQ8G9YaPy6K7Nv
126003;LAMP;https://www.epfl.ch/labs/lamp;;Computer architecture and integrated systems|Programming languages & formal methods|Systems;iTMY82YJxgbqLrpoy
126010;LPPC;https://www.epfl.ch/labs/lppc;;Astrophysics and gravitation|Fundamental interactions and cosmology|Theoretical Physics;Ppnx3FL7y7aNNTuLR
126097;LTH3;https://www.epfl.ch/labs/lth3;;Theory and history;BHbf9c4LMB3mDJpnY
129343;VITA;https://www.epfl.ch/labs/vita;;Transportation and networks;jbqsKk6EGZzJWkaW9
131602;LASEC;https://lasec.epfl.ch;;Security, privacy & cryptography;RTWmyd8ozcxyyHHuQ
133331;LANES;https://www.epfl.ch/labs/lanes;;Future of computing|Micro and nanosystems|Optics and photonics|Quantum technology;Akux9GhDa4ndJJ4P4
133346;IBETON;https://ibeton.epfl.ch;;Structure and materials;7hdabHakqSM79Rc9G
133834;ECOS;https://www.epfl.ch/labs/ecos;;Ecology and biogeochemical cycles|Human-environment interactions;jFz82LaabY8TdLaSj
134136;EPFL;https://www.epfl.ch/labs/lsir;;Crowdsourcing & citizen science |Data management|Information retrieval|Distributed computing|Data science;CQx66pBXTWwGDvgKF
136108;GR-QUA;https://www.epfl.ch/labs/q-lab;;Future of computing|Micro and nanosystems|Optics and photonics|Quantum technology|Space technology;LJi9Co2SwXPFYRwXj
138857;LMC;https://www.epfl.ch/labs/lmc;;;W2k5PPdaTXPp4n8tY
138859;PRST;https://www.epfl.ch/labs/prst;;Probability and stochastics;zMLDGobgJ5dWRLH4Q
140973;SCI-STI-FM;https://www.epfl.ch/labs/ipese;;Energy systems;SGA8JyP6Hb4K4Efxv
141236;UPDUB;https://www.epfl.ch/labs/duboule-lab;;Computational biology|Development|Drosophila|Molecular and celluar biology|Rodents;zHFmA9BdKruZiyCJJ
141278;MIR;https://www.epfl.ch/labs/mir;;Entrepreneurial strategies|Management of innovation|Innovation policy|Intellectual property rights policy and regulation|Information society and digitalization policies and regulation|Technology and public policy;k3bfHintEtCjEXCue
141288;CEMI;https://www.epfl.ch/labs/cemi;;Management of innovation|Innovation policy|Intellectual property rights policy and regulation|Information society and digitalization policies and regulation|Technology and public policy;weqZyngSo7pJvpnJi
144344;LBS;https://www.epfl.ch/labs/lbs;;Biophysics|Computational physics|Statistical mechanics and quantum information|Theoretical Physics;qo2fRLZ6BYbRZqE8s
145138;LCS;https://www.epfl.ch/labs/lcs;;Inorganic chemistry;cMjeDi8G3ZwE2Tqgv
146991;AQUA;https://www.epfl.ch/labs/aqua;;Imaging and vision|Quantum technology;bWPLZHqD6oR42aqPq
147009;LABA;https://www.epfl.ch/labs/laba;;Territory and society;n8jGWYAczTaHFNT4e
148571;SCI-SB-SG;https://www.epfl.ch/labs/gbf;;Chemical biology|Organic chemistry;b6mSaLtBvXERmKSSG
148669;LHE;https://www.epfl.ch/labs/lhe;;Civil engineering and ENAC;ocnQWTTfT6qYytgnp
149162;APHYS;https://www.epfl.ch/labs/aphys;;Atmosphere and climate|Ecology and biogeochemical cycles|Sustainable energy systems;jmgr8f3tMZZPb98BY
149418;GCEE;https://www.epfl.ch/labs/gcee;;Chemical biology|Inorganic chemistry|Renewable energy;WAuiCSKckfPnGLX4h
149418;LCOM;https://www.epfl.ch/labs/lcom;;Chemical biology|Inorganic chemistry|Renewable energy;6mpFFj98EqzrjSvxG
149479;SCI-SB-MM;https://www.epfl.ch/labs/gcc;;Inorganic chemistry|Renewable energy;eBh8yis5WGE2DKjPx
150117;LCBC;https://www.epfl.ch/labs/lcbc;;Computational chemistry;uQmxDbjdAZMMQKdnr
150822;LNMC;https://www.epfl.ch/labs/markram-lab;;Computational biology|Neurocomputation|Neuroscience|Translational research;cQ2chBFsFfuqADPRy
152655;INDY1;https://indy.epfl.ch;;Artificial Intelligence (AI) |Machine Learning (ML)|Data management|Information retrieval|Information & communication theory|Data science;bnnyR4dJeJqCrxF3T
154408;LPDC;https://www.epfl.ch/labs/lpdc;;Chemical engineering|Renewable energy;uDiHAZkfEFpNHuBQz
155704;CHILI;https://www.epfl.ch/labs/chili;;Human-computer interaction (HCI)|Education technology & research|Robotics;sG3j8LZ2caNjZfqJY
155705;LABOS;https://labos.epfl.ch;;Systems;KXdv7gacB3bw96u23
155721;OPT;https://opt.epfl.ch;;;vFxD6oCngewpBtue2
156151;IBOIS;https://www.epfl.ch/labs/ibois;;Civil engineering and ENAC;DHTcSGLYNXGZ8xqzu
156848;LP;https://www.epfl.ch/labs/lp;;Chemical engineering|Organic chemistry;s4BDzpLi3WFpY3R9G
156849;LMA;http://algo.epfl.ch;;Algebra and number theory|Discrete mathematics;NkBRgdwgcrGibixo9
157467;LSENS;https://www.epfl.ch/labs/lsens;;Bioimaging|Biophysics|Molecular and celluar biology|Neuroscience|Rodents;dFua92TBzYgL4Mbj9
