fac,institut,site_url
STI,IGM,http://leni.epfl.ch
ENAC,IIC,http://cclab.epfl.ch/
SB,IPHYS,http://lcb.epfl.ch
STI,IEL,http://aspg.epfl.ch/
SB,IPHYS,http://lcom.epfl.ch/wagnieres
STI,IMX,http://lmm.epfl.ch/
SB,SPC,http://spc.epfl.ch/research_collaborations
SB,ISIC,http://lpi.epfl.ch/
SB,ISIC,http://lspm.epfl.ch/
SB,,https://mds.epfl.ch/
IC,,https://mds.epfl.ch/
IC,,http://lsir.epfl.ch/
IC,,http://dias.epfl.ch/
IC,,http://nal.epfl.ch/
IC,,http://dcsl.epfl.ch/
IC,,http://dslab.epfl.ch/
IC,,http://lsi.epfl.ch
IC,,http://lams.epfl.ch/
IC,,http://chili.epfl.ch
IC,,http://parsa.epfl.ch/
IC,,http://liawww.epfl.ch
IC,,https://dedis.epfl.ch/
IC,,http://cvlab.epfl.ch
IC,,http://linx.epfl.ch
IC,,https://indy.epfl.ch/
IC,,http://dcl.epfl.ch/site/
IC,,http://ldm.epfl.ch
IC,,http://lca.epfl.ch/
IC,,http://lap.epfl.ch/
IC,,http://mlo.epfl.ch/
IC,,https://rgl.epfl.ch
IC,,http://theory.epfl.ch/kapralov/
IC,,http://data.epfl.ch/
IC,,http://lara.epfl.ch
IC,,http://vlsc.epfl.ch/
IC,,http://lca.epfl.ch/
IC,,http://lacal.epfl.ch/
IC,,http://lcbb.epfl.ch/
IC,,http://lamp.epfl.ch/
IC,,http://lgg.epfl.ch/
IC,,http://lcmwww.epfl.ch/
IC,,http://salathelab.epfl.ch/
SV,,http://salathelab.epfl.ch/
IC,,http://algo.epfl.ch/
IC,,http://ivrl.epfl.ch/
IC,,http://tcs.epfl.ch/
IC,,http://ipg.epfl.ch/
IC,,http://lca.epfl.ch/
IC,,http://carmelatroncoso.com/
IC,,http://lthcwww.epfl.ch/
IC,,http://lasec.epfl.ch/
IC,,http://lcav.epfl.ch/
IC,,http://lams.epfl.ch/
IC,,http://dlab.epfl.ch/people/west/
IC,,http://labos.epfl.ch/
IC,,http://ipg.epfl.ch/~leveque/
IC,,http://ipg.epfl.ch/
